batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
4,100,299,2.99,327329,181477,-24.425445,22025,15.100924,40453,14049,26404,100,145852,74187,67949
4,100,303,3.03,413692,63464,81.879233,38769,11.069646,9896,3600,6296,100,350228,52865,53844
4,100,302,3.02,409600,113236,61.791581,56419,19.037063,25715,11014,14701,100,296364,94509,95974
4,100,300,3.00,409600,109993,63.287573,58637,19.571305,28627,13643,14984,100,299607,98371,100935
4,100,300,3.00,409600,102455,66.642791,60341,19.645770,28400,14283,14117,100,307145,97811,100745
4,100,300,3.00,409600,93288,70.507600,58495,18.492817,26317,13181,13136,100,316312,89791,93795
4,100,300,3.00,409600,89554,72.018397,58841,18.385170,25872,13244,12628,100,320046,87541,91016
4,100,300,3.00,409600,97072,68.939743,61739,19.754710,27774,13576,14198,100,312528,95755,101334
4,100,300,3.00,409600,100891,67.318413,63400,20.537140,24496,11704,12792,100,308709,101954,111584
4,100,300,3.00,409600,106540,64.845245,56003,18.479179,28280,12587,15693,100,303060,91757,101844
4,100,299,2.99,324657,137531,26.503532,30974,16.552483,28495,9047,19448,100,187126,70536,70887
4,100,303,3.03,413692,62873,82.078223,41409,11.803523,8413,2780,5633,100,350819,56969,56970
4,100,302,3.02,409600,112772,62.007627,58620,19.748811,19531,7582,11949,100,296828,100918,103354
4,100,300,3.00,409600,109423,63.547174,62818,20.926986,22285,10048,12237,100,300177,108612,108102
4,100,300,3.00,409600,100542,67.468242,62812,20.323693,22733,11391,11342,100,309058,103384,104322
4,100,300,3.00,409600,94395,70.052823,60798,19.288400,22525,11492,11033,100,315205,96392,97785
4,100,300,3.00,409600,94458,70.026845,61641,19.559754,24235,12747,11488,100,315142,96769,95309
4,100,300,3.00,409600,97701,68.675437,65225,20.912218,22156,11525,10631,100,311899,104223,104044
4,100,300,3.00,409600,112449,62.157624,63705,21.438595,27499,13589,13910,100,297151,112037,107689
4,100,300,3.00,409600,113675,61.586551,59054,19.955732,26038,12397,13641,100,295925,105296,97002
4,100,299,2.99,292000,106348,42.716480,34494,18.579924,18877,6263,12614,100,185652,71940,84059
4,100,303,3.03,413692,63931,81.721518,40694,11.634802,9860,3700,6160,100,349761,55378,56306
4,100,302,3.02,409600,113263,61.778988,58163,19.627316,25004,10611,14393,100,296337,99927,100820
4,100,300,3.00,409600,108265,64.071548,60696,20.142366,25180,11499,13681,100,301335,103710,105578
4,100,300,3.00,409600,100688,67.405604,62449,20.215790,25139,12763,12376,100,308912,103329,100927
4,100,300,3.00,409600,92705,70.745831,61177,19.305133,21869,10952,10917,100,316895,96627,95801
4,100,300,3.00,409600,92942,70.649091,61676,19.477165,23798,12267,11531,100,316658,96260,94247
4,100,300,3.00,409600,102304,66.708320,63769,20.751653,22768,11909,10859,100,307296,105285,105217
4,100,300,3.00,409600,104334,65.821939,64998,21.292250,22122,11351,10771,100,305266,110154,108964
4,100,300,3.00,409600,106874,64.696128,59617,19.693386,18177,9135,9042,100,302726,103123,103295
4,100,299,2.99,307092,127184,29.306090,32611,18.126487,17335,7955,9380,100,179908,86557,88905
4,100,303,3.03,413692,61460,82.551273,39588,11.239183,8520,2796,5724,100,352232,53620,55569
4,100,302,3.02,409600,116402,60.299183,56988,19.436695,24550,9937,14613,100,293198,99396,98407
4,100,300,3.00,409600,111176,62.745624,58890,19.733668,29531,14686,14845,100,298424,102228,100087
4,100,300,3.00,409600,97984,68.556172,61259,19.658490,26088,13301,12787,100,311616,98537,99593
4,100,300,3.00,409600,98021,68.540563,58962,18.923612,27230,13975,13255,100,311579,95122,93033
4,100,300,3.00,409600,87826,72.705688,60779,18.888723,25476,13485,11991,100,321774,92983,89953
4,100,300,3.00,409600,95901,69.428975,62860,20.038317,26594,13483,13111,100,313699,98528,100338
4,100,300,3.00,409600,102804,66.491089,64251,20.942581,29177,14091,15086,100,306796,104489,106211
4,100,300,3.00,409600,110645,62.989413,56911,19.036644,29435,13599,15836,100,298955,97785,96013
4,100,299,2.99,302669,117723,36.347366,30598,16.544289,27267,8313,18954,100,184946,71534,64304
4,100,303,3.03,413692,61461,82.550940,38394,10.900233,9523,3478,6045,100,352231,52376,51253
4,100,302,3.02,409600,114369,61.261182,55371,18.755144,23457,9549,13908,100,295231,96619,95299
4,100,300,3.00,409600,114374,61.258832,57522,19.484056,27551,12941,14610,100,295226,100298,98688
4,100,300,3.00,409600,96981,68.977893,59360,18.987969,24786,12479,12307,100,312619,94868,97772
4,100,300,3.00,409600,98189,68.469643,56432,18.121389,24999,12006,12993,100,311411,91014,93305
4,100,300,3.00,409600,87388,72.878726,57766,17.927948,22839,11481,11358,100,322212,86708,90424
4,100,300,3.00,409600,99885,67.749382,61517,19.862454,26663,12908,13755,100,309715,98525,97756
4,100,300,3.00,409600,106997,64.641130,61973,20.479969,27115,12386,14729,100,302603,103825,104941
4,100,300,3.00,409600,110689,62.969245,54856,18.351951,26343,11822,14521,100,298911,95276,97875
4,100,299,2.99,295765,119201,32.488503,27185,15.396683,29968,9798,20170,100,176564,63865,61409
4,100,303,3.03,413692,61423,82.563609,34378,9.759019,8894,2758,6136,100,352269,48370,46258
4,100,302,3.02,409600,115461,60.746110,50375,17.126257,22077,8223,13854,100,294139,87473,87139
4,100,300,3.00,409600,109133,63.678873,53272,17.729734,29027,13812,15215,100,300467,90776,88357
4,100,300,3.00,409600,101823,66.916631,54462,17.695279,29183,14742,14441,100,307777,89246,84321
4,100,300,3.00,409600,96116,69.339424,51563,16.448367,28400,14478,13922,100,313484,82097,80808
4,100,300,3.00,409600,92867,70.679721,51916,16.391093,28825,15038,13787,100,316733,80658,78813
4,100,300,3.00,409600,94519,70.001682,56440,17.912854,30545,15533,15012,100,315081,87070,84250
4,100,300,3.00,409600,102441,66.648869,59156,19.259081,31148,15120,16028,100,307159,96858,95804
4,100,300,3.00,409600,106979,64.649182,51770,17.107207,32290,15005,17285,100,302621,86056,86645
4,100,299,2.99,291782,135937,12.774231,22170,14.225673,37484,12742,24742,100,155845,62006,60259
8,100,304,3.04,827384,233511,60.679977,76060,12.807452,38159,12486,25673,100,593873,134846,133890
8,100,300,3.00,819200,230467,60.853732,103543,17.587429,60961,28457,32504,100,588733,179957,184128
8,100,300,3.00,819200,213347,64.785682,101675,16.782124,61471,30683,30788,100,605853,167691,169193
8,100,300,3.00,819200,212455,64.984466,110254,18.171390,65693,31403,34290,100,606745,178866,180990
8,100,300,3.00,819200,301542,41.748799,84572,16.337427,93616,39055,54561,100,517658,172416,172485
8,100,304,3.04,827384,232729,60.863190,83454,14.034020,34258,11377,22881,100,594655,149190,148337
8,100,300,3.00,819200,228520,61.312386,113041,19.137435,56263,26602,29661,100,590680,197629,198733
8,100,300,3.00,819200,210440,65.431369,111600,18.332348,53707,27452,26255,100,608760,187324,181952
8,100,300,3.00,819200,224436,62.264697,118441,19.913949,59640,30125,29515,100,594764,202601,195104
8,100,300,3.00,819200,297238,43.053709,92003,17.626379,78489,33792,44697,100,521962,192745,183304
8,100,304,3.04,827384,230360,61.415286,85501,14.321200,32663,11332,21331,100,597024,150337,150329
8,100,300,3.00,819200,235868,59.565393,114496,19.627931,56823,27253,29570,100,583332,201450,206644
8,100,300,3.00,819200,204753,66.676866,113649,18.496144,53316,26207,27109,100,614447,182021,188482
8,100,300,3.00,819200,212707,64.928367,120914,19.936586,51649,25190,26459,100,606493,197680,209609
