batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
8,1856,5422,2.92,118784,6392,94.312762,17655,15.708413,2725,2351,374,1856,112392,20045,19009
8,1854,5435,2.93,118656,6368,94.328869,17725,15.785302,2654,2298,356,1854,112288,19959,19087
8,1847,5413,2.93,118169,5171,95.423813,17717,15.679039,2147,1875,272,1847,112998,19393,18789
8,1,5,5.00,120,0,100.000000,1,0.833333,0,0,0,1,120,1,3
8,1690,4923,2.91,108160,902,99.159037,18233,16.999198,456,401,55,1690,107258,18573,19482
8,1849,5382,2.91,118336,1183,98.990209,19641,16.765256,614,566,48,1849,117153,20153,20625
8,1852,5401,2.92,118528,966,99.178306,19029,16.186353,482,430,52,1852,117562,19489,20087
8,1852,5397,2.91,118528,1402,98.802998,19168,16.365282,676,610,66,1852,117126,19800,20341
8,1846,5391,2.92,118144,768,99.345692,19054,16.233302,413,378,35,1846,117376,19380,20121
8,1852,5387,2.91,118528,827,99.297372,19114,16.239454,424,383,41,1852,117701,19404,20069
8,1849,5403,2.92,118336,1357,98.839963,19173,16.390121,666,617,49,1849,116979,19667,20009
8,1856,5422,2.92,118784,1242,98.943356,19057,16.212928,598,544,54,1856,117542,19533,20236
8,1854,5435,2.93,118656,1208,98.971460,19075,16.241230,591,543,48,1854,117448,19537,20276
8,1847,5413,2.93,118189,449,99.618651,19030,16.162731,248,225,23,1847,117740,19186,20035
16,1,5,5.00,240,0,100.000000,10,4.166667,0,0,0,1,240,10,10
16,858,2530,2.95,109824,6795,93.404770,16170,15.694610,2623,2045,578,858,103029,19150,18391
16,934,2750,2.94,119552,6368,94.373763,17408,15.380266,2542,2038,504,934,113184,19824,19366
16,935,2755,2.95,119680,6383,94.366135,16882,14.900659,2557,2082,475,935,113297,19106,18820
16,934,2748,2.94,119552,6598,94.158684,16791,14.865343,2534,1955,579,934,112954,19001,18713
16,932,2750,2.95,119296,5701,94.981293,16949,14.920551,2275,1887,388,932,113595,18967,18840
16,933,2748,2.95,119424,6575,94.173630,16655,14.758660,2659,2204,455,933,112849,19173,18496
16,929,2744,2.95,118912,5435,95.210483,16970,14.954572,2177,1812,365,929,113477,18820,18643
16,933,2762,2.96,119424,6596,94.153933,16936,15.010458,2464,2048,416,933,112828,19032,18876
16,934,2762,2.96,119552,6976,93.803297,16855,14.972108,2691,2188,503,934,112576,19245,18695
16,931,2755,2.96,119054,5985,94.706772,16902,14.948394,2490,2046,444,931,113069,19120,18513
16,1,5,5.00,240,0,100.000000,13,5.416667,0,0,0,1,240,13,7
16,858,2530,2.95,109824,2671,97.507303,17967,16.767613,1122,860,262,858,107153,19037,20002
16,934,2750,2.94,119552,1902,98.383340,19191,16.311942,835,686,149,934,117650,19887,20996
16,935,2755,2.95,119680,1996,98.303933,18688,15.879814,868,711,157,935,117684,19342,20356
16,934,2748,2.94,119552,1868,98.412698,18753,15.935046,797,637,160,934,117684,19425,20578
16,932,2750,2.95,119296,1785,98.480993,18678,15.894682,750,623,127,932,117511,19338,20291
16,933,2748,2.95,119424,2019,98.280312,18738,15.960138,824,691,133,933,117405,19492,20260
16,929,2744,2.95,118912,1376,98.829295,18836,16.025728,611,513,98,929,117536,19320,20382
16,933,2762,2.96,119424,1827,98.446389,18653,15.861799,747,622,125,933,117597,19223,20214
16,934,2762,2.96,119552,2124,98.191232,18784,15.996185,932,821,111,934,117428,19556,20341
16,931,2755,2.96,119086,2068,98.232751,18634,15.924046,937,801,136,931,117018,19332,19789
16,1,5,5.00,240,0,100.000000,9,3.750000,0,0,0,1,240,9,12
16,858,2530,2.95,109824,7362,92.814897,16882,16.476352,2936,2284,652,858,102462,20108,18914
16,934,2750,2.94,119552,6614,94.143689,18266,16.173476,2630,2150,480,934,112938,21002,19914
16,935,2755,2.95,119680,6467,94.287758,17849,15.765857,2596,2168,428,935,113213,20449,19367
16,934,2748,2.94,119552,7012,93.769326,17711,15.737516,2763,2307,456,934,112540,20513,19279
16,932,2750,2.95,119296,6608,94.136022,17735,15.738144,2619,2104,515,932,112688,20447,19191
16,933,2748,2.95,119424,6778,93.982920,17700,15.712941,2727,2279,448,933,112646,20338,19502
16,929,2744,2.95,118912,6062,94.628268,17856,15.822774,2452,2090,362,929,112850,20268,19153
16,933,2762,2.96,119424,7281,93.507397,17692,15.776286,2848,2401,447,933,112143,20438,19069
16,934,2762,2.96,119552,7175,93.615242,17729,15.776360,2817,2318,499,934,112377,20379,19378
16,931,2755,2.96,119062,5925,94.762986,17729,15.670382,2373,2001,372,931,113137,19817,19155
16,1,5,5.00,240,0,100.000000,8,3.333333,0,0,0,1,240,8,11
16,858,2530,2.95,109824,2689,97.490083,18274,17.056984,1102,832,270,858,107135,19296,20284
16,934,2750,2.94,119552,2488,97.874667,19577,16.723331,1063,836,227,934,117064,20643,21080
16,935,2755,2.95,119680,2269,98.067472,19045,16.220797,993,810,183,935,117411,20021,20375
16,934,2748,2.94,119552,2253,98.079268,19170,16.342850,983,811,172,934,117299,20096,20465
16,932,2750,2.95,119296,2011,98.285373,19073,16.262097,850,695,155,932,117285,19883,20313
