gvt,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
8,934,2749,2.94,119552,2032,98.270933,19050,16.210007,877,732,145,934,117520,19958,20358
8,933,2735,2.93,119424,2148,98.168423,19199,16.370783,970,805,165,933,117276,20111,20503
8,929,2729,2.94,118912,1478,98.741421,19066,16.235502,685,591,94,929,117434,19642,20253
8,931,2734,2.94,119168,1476,98.745879,19076,16.208408,653,551,102,931,117692,19678,20439
8,932,2743,2.94,119296,2464,97.890989,19126,16.370515,1084,947,137,932,116832,19978,20226
8,933,2759,2.96,119424,1808,98.462794,19149,16.280948,782,661,121,933,117616,19755,20370
8,932,2739,2.94,119296,1749,98.512085,18963,16.132270,766,638,128,932,117547,19579,20446
8,929,2717,2.92,118850,1204,98.976591,19006,16.155245,540,454,86,929,117646,19430,20183
16,1,5,5.00,496,0,100.000000,31,6.250000,0,0,0,1,496,31,26
16,434,1290,2.97,111104,8196,92.035605,16151,15.694601,2882,2115,767,434,102908,19355,18833
16,473,1406,2.97,121088,7975,92.949528,17401,15.383731,2925,2240,685,473,113113,20341,19620
16,470,1391,2.96,120320,7185,93.649180,16857,14.899898,2648,2051,597,470,113135,19367,19071
16,472,1408,2.98,120832,7972,92.936381,16763,14.852915,2806,2137,669,472,112860,19573,19057
16,471,1396,2.96,120576,6919,93.912386,16943,14.907133,2514,1941,573,471,113657,19277,19005
16,471,1407,2.99,120576,7769,93.113016,16664,14.772133,2819,2170,649,471,112807,19372,18861
16,473,1411,2.98,121088,7569,93.332394,17019,14.992204,2768,2106,662,473,113519,19545,19484
16,472,1405,2.98,120832,8039,92.872785,16894,14.977880,2876,2211,665,472,112793,19544,19123
16,471,1404,2.98,120576,8099,92.799417,16837,14.969283,2918,2306,612,471,112477,19569,18922
16,473,1400,2.96,120890,7638,93.255748,16921,14.941016,2705,2076,629,473,113252,19449,19066
16,1,5,5.00,496,0,100.000000,34,6.854839,0,0,0,1,496,34,32
16,434,1290,2.97,111104,4174,96.096512,17956,16.792294,1555,1106,449,434,106930,19648,20480
16,473,1406,2.97,121088,3067,97.401310,19224,16.288627,1158,907,251,473,118021,20392,21210
16,470,1391,2.96,120320,3066,97.385164,18642,15.898818,1201,956,245,470,117254,19738,20592
16,472,1408,2.98,120832,2994,97.459224,18783,15.939680,1140,898,242,472,117838,19845,20960
16,471,1396,2.96,120576,2893,97.541701,18718,15.905441,1140,913,227,471,117683,19652,20511
16,471,1407,2.99,120576,3391,97.106285,18775,16.021675,1320,1092,228,471,117185,20033,20702
16,473,1411,2.98,121088,3347,97.157320,18817,15.981689,1236,972,264,473,117741,19937,20976
16,472,1405,2.98,120832,3158,97.316315,18636,15.836973,1209,963,246,472,117674,19736,20812
16,471,1404,2.98,120576,3232,97.245705,18838,16.053654,1282,1068,214,471,117344,20010,20607
16,473,1400,2.96,120881,3940,96.630780,18587,15.894340,1440,1131,309,473,116941,19939,20362
16,1,5,5.00,496,0,100.000000,28,5.645161,0,0,0,1,496,28,31
16,434,1290,2.97,111104,8939,91.250428,16841,16.484119,3239,2419,820,434,102165,20551,19361
16,473,1406,2.97,121088,8073,92.856700,18271,16.166881,2976,2290,686,473,113015,21247,20552
16,470,1391,2.96,120320,7516,93.337116,17796,15.776036,2848,2247,601,470,112804,20760,19769
16,472,1408,2.98,120832,8258,92.664381,17689,15.713220,3063,2429,634,472,112574,20899,19902
16,471,1396,2.96,120576,7536,93.333333,17789,15.736907,2796,2169,627,471,113040,20661,19419
16,471,1407,2.99,120576,8357,92.552954,17677,15.752234,3016,2335,681,471,112219,20701,19826
16,473,1411,2.98,121088,8175,92.759912,17873,15.829001,2994,2390,604,473,112913,20935,19812
16,472,1405,2.98,120832,9063,91.891312,17567,15.717238,3257,2538,719,472,111769,20803,19399
16,471,1404,2.98,120576,7848,93.038109,17759,15.753850,2940,2366,574,471,112728,20621,19808
16,473,1400,2.96,120898,7892,93.016300,17733,15.692087,2847,2244,603,473,113006,20453,19747
16,1,5,5.00,496,0,100.000000,30,6.048387,0,0,0,1,496,30,34
16,434,1290,2.97,111104,4079,96.188741,18228,17.031535,1490,1063,427,434,107025,19804,20684
16,473,1406,2.97,121088,3717,96.833119,19631,16.725597,1459,1107,352,473,117371,21043,21641
16,470,1391,2.96,120320,3082,97.371160,18983,16.191849,1241,993,248,470,117238,20347,20780
16,472,1408,2.98,120832,3355,97.144122,19247,16.383633,1350,1113,237,472,117477,20717,21115
16,471,1396,2.96,120576,3005,97.444098,19093,16.239549,1207,973,234,471,117571,20129,20784
16,471,1407,2.99,120576,3052,97.403084,19079,16.234131,1226,986,240,471,117524,20229,20946
16,473,1411,2.98,121088,3937,96.639380,19157,16.352400,1507,1220,287,473,117151,20709,20854
16,472,1405,2.98,120832,3448,97.062632,19084,16.257752,1356,1107,249,472,117384,20370,21119
16,471,1404,2.98,120576,2843,97.585214,19081,16.207011,1103,886,217,471,117733,20023,20886
16,473,1400,2.96,120857,3469,97.044843,18924,16.120898,1285,977,308,473,117388,20156,20822
32,1,6,6.00,1008,0,100.000000,119,11.805556,0,0,0,1,1008,119,125
32,233,698,3.00,119296,16797,83.612523,16085,15.692836,4403,2655,1748,233,102499,22261,21449
